X,Y,OBJECTID,KOD,NAZEV,TYP,POCET,OP_TYP,URCENO,ZMENA_G,ZMENA_T
16.037342873433,50.0223097963214,5059,105000,Dub letní,1,1,ZAK,1,20100325,20130723
17.3445377617559,50.1122438821401,5060,105055,Jasan u zámečku,1,1,ZAK,1,20100118,20100922
16.7828117621259,50.0752336362766,5061,105408,Lípa srdčitá,1,1,VYH,1,20100921,20130723
14.2558050814611,49.8751399596538,5062,104724,V lipkách,2,97,ZAK,1,20100611,20130625
16.4354304619902,50.0510115300657,5063,104775,Lípa srdčitá,1,1,VYH,1,20100325,20110809
16.782741566208,50.0751422780188,5064,101145,Lípa srdčitá,1,1,VYH,1,20100325,20101207
16.7827184135466,50.0750962188728,5065,105409,Lípa srdčitá,1,1,VYH,1,20100921,20130723
17.3446126499627,50.1118536237011,5066,105054,Lípa u zámečku,1,1,ZAK,1,20100118,20110809
16.7829359642111,50.0751069903592,5067,105410,Javor klen,1,1,VYH,1,20100921,20130723
14.2556672844346,49.875019839699,5068,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2558740691444,49.8749634562924,5069,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.255925716965,49.8749084037063,5070,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2557825044248,49.8748662907343,5071,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2559870677063,49.8748464973395,5072,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2558205305678,49.8748174580978,5073,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2558618892939,49.8747732001819,5074,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2560333680521,49.8747759383186,5075,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2558995589724,49.8747164456372,5076,104724,V lipkách,2,97,ZAK,1,20100611,20130625
16.7838664305875,50.074816510258,5077,101144,Javor klen,1,1,VYH,1,20100325,20101207
14.2560946033942,49.8746885003531,5078,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2559379456899,49.8746433491897,5079,104724,V lipkách,2,97,ZAK,1,20100611,20130625
16.1833658812915,50.0322829125084,5080,101179,"Dub letní - Dolní Újezd, Postolov",1,1,VYH,1,20100325,20110809
14.2561203166756,49.8746087891551,5081,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.2560134008129,49.8745553725918,5082,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.256189967185,49.8745476329244,5083,104724,V lipkách,2,97,ZAK,1,20100611,20130625
14.5226797704726,49.882790351856,5084,103531,Jedle nad Turyní,1,1,ZAK,1,20100610,20150423
13.4033843675293,49.7785860638351,5085,104721,Borovice u Košináře,1,1,VYH,1,20100215,20100921
16.3728630580434,50.0302563511761,5086,104792,Hrušeň obecná,1,1,VYH,1,20100325,20101209
14.6678400758008,49.8951759597291,5087,103645,Lojovický dub,1,1,ZAK,1,20100610,20100610
14.5825523692506,49.8875721287039,5088,103597,Smrky v údolí Kamenického potoka,3,31,ZAK,1,20100610,20220830
14.582322511278,49.8874175516779,5089,103597,Smrky v údolí Kamenického potoka,3,31,ZAK,1,20100610,20220830
14.5825820381819,49.8874076139265,5090,103597,Smrky v údolí Kamenického potoka,3,31,ZAK,1,20100610,20220830
14.7824456058252,49.9044495654158,5091,103637,Lípy na návsi v Ondřejově,3,2,ZAK,1,20100610,20130625
14.3150184563767,49.8633810476242,5092,103581,Tis v Čisovicích,1,1,ZAK,1,20100610,20120120
15.270842571447,49.9451800164401,5093,103990,Dub letní,1,1,ZAK,1,20100610,20100610
14.7824135620723,49.9043209342824,5094,103637,Lípy na návsi v Ondřejově,3,2,ZAK,1,20100610,20130625
14.5824217190507,49.8867490849365,5095,103597,Smrky v údolí Kamenického potoka,3,31,ZAK,1,20100610,20220830
14.5825403946974,49.8866879606084,5096,103597,Smrky v údolí Kamenického potoka,3,31,ZAK,1,20100610,20220830
14.9592497722423,49.918916229951,5097,104045,Lípa v Horních Krutech,1,1,ZAK,1,20100610,20100610
15.3997272539386,49.9545726575362,5098,105133,2 lípy malolisté,3,2,ZAK,1,20100921,20121126
15.3999233859597,49.9544814223859,5099,105133,2 lípy malolisté,3,2,ZAK,1,20100921,20121126
16.5012872936846,50.037200972756,5100,104778,Lípa svobody,1,1,VYH,1,20100325,20110809
12.778666539205,49.7128758846195,5101,102263,Borský kaštan,1,1,VYH,1,20100218,20101015
15.0952229919895,49.9285334651961,5102,104082,Lípa na Zadním Hrádku,1,1,ZAK,1,20100610,20130625
12.8130419478663,49.7153248416244,5103,102252,Skviřínský dub,1,1,VYH,1,20100218,20101015
14.4930421625271,49.8762869267207,5104,103546,Buk na Včelním Hrádku,1,1,ZAK,1,20100610,20100610
15.1147830190743,49.9294003043673,5105,103977,2 lípy malolisté,3,2,ZAK,1,20100610,20100610
14.4918957507964,49.8760429353336,5106,103543,Jírovec u Včelního Hrádku,1,1,ZAK,1,20100610,20100610
15.1148342893217,49.9292955104232,5107,103977,2 lípy malolisté,3,2,ZAK,1,20100610,20100610
14.8187878918462,49.9042975873561,5108,104042,Dub letní,1,1,ZAK,1,20100610,20111201
14.7184605828074,49.8955230311082,5109,105022,Lípa v Senohrabech,1,1,VYH,1,20161229,20161229
14.2179365152888,49.8501133358827,5110,103575,Jasan ztepilý,1,1,ZAK,1,20100610,20111201
14.0319139542926,49.8328909377135,5111,104206,Lípa malolistá,1,1,ZAK,1,20100610,20111201
15.2383396885589,49.9377911764855,5112,105732,Dub v Bylanech,1,1,ZAK,1,20110506,20110506
15.4065913884691,49.9509168187528,5113,103955,Dub u Druhanic,1,1,ZAK,1,20100610,20100610
16.1357120795686,50.0058132327026,5114,101118,"Dobříkov - dub letní - 2 ks, u lesa",3,2,VYH,1,20100325,20110809
14.7507108302984,49.8961736938428,5115,103638,Lípy u křížku v Lensedlích,3,3,ZAK,1,20100610,20130625
14.7506517711487,49.8961325753526,5116,103638,Lípy u křížku v Lensedlích,3,3,ZAK,1,20100610,20130625
13.3997954450915,49.7709189657888,5117,102365,Duby u Velkého rybníka,3,3,VYH,1,20100215,20100921
16.1356434542018,50.0056367778897,5118,101118,"Dobříkov - dub letní - 2 ks, u lesa",3,2,VYH,1,20100325,20110809
15.7670768717655,49.9778199704145,5119,104768,Buk lesní červenolistý,1,1,ZAK,1,20100325,20100325
16.7203967552662,50.0471961348429,5120,104786,Jilm horský a jasan ztepilý,3,2,VYH,1,20100325,20101209
15.4631096899547,49.9539436558283,5121,104003,Dub letní,1,1,ZAK,1,20100610,20100610
13.4018987720209,49.770589215975,5122,102365,Duby u Velkého rybníka,3,3,VYH,1,20100215,20100921
16.7199704479923,50.046927332033,5123,104786,Jilm horský a jasan ztepilý,3,2,VYH,1,20100325,20101209
13.4028446126387,49.7701005623697,5124,102365,Duby u Velkého rybníka,3,3,VYH,1,20100215,20100921
13.6118510493465,49.790028371355,5125,102306,Buk na Číhadle,1,1,VYH,1,20100215,20100921
14.7538421911151,49.8939376159008,5126,103639,Lípy na návsi v Lensedlích,3,4,ZAK,1,20100610,20130625
14.7537339880938,49.8939009262081,5127,103639,Lípy na návsi v Lensedlích,3,4,ZAK,1,20100610,20130625
14.7538567023096,49.8938988388029,5128,103639,Lípy na návsi v Lensedlích,3,4,ZAK,1,20100610,20130625
14.7537390987093,49.8938602886468,5129,103639,Lípy na návsi v Lensedlích,3,4,ZAK,1,20100610,20130625
13.3077764434238,49.7595486333226,5130,102362,Lípy u Mže,3,2,VYH,1,20100215,20130723
12.9228175747679,49.5213317417406,5131,102579,Alej ke Sv. Anně,2,46,VYH,1,20121126,20161223
13.6920258180993,49.7741057870956,5132,102312,Lípa v Kovosvitu,1,1,VYH,1,20100215,20100921
17.3805711803865,50.0654365005419,5133,100505,Lípa u kříže pod Annenskou studánkou,1,1,ZAK,1,20100118,20100922
14.9033430647286,49.882119405425,5134,103933,Dub letní,1,1,ZAK,1,20100610,20130723
14.7131401054587,49.8656538130473,5135,104229,Lípa ve Čtyřkolech,1,1,ZAK,1,20100610,20100610
15.1918455150793,49.9057980173595,5136,103980,Lípa malolistá,1,1,ZAK,1,20100610,20100921
15.7877187692115,49.9522837892465,5137,104767,Buk lesní červenolistý,1,1,ZAK,1,20100921,20130723
15.6650941844111,49.9421409165226,5138,101598,Dub letní,1,1,VYH,1,20100325,20110809
16.6002197838026,50.0107013356255,5139,101140,Lípa malolistá,1,1,VYH,1,20100325,20101015
15.7883917542306,49.9499779737021,5140,104770,Jasan ztepilý,1,1,ZAK,1,20100325,20100325
14.9106200874583,49.8789629743736,5141,104213,Lípa malolistá,1,1,ZAK,1,20100610,20130723
13.1836703311339,49.7191874850028,5142,102325,Památná borovice,1,1,VYH,1,20100217,20101216
16.5977167861032,50.0089072115691,5143,101160,Lipová alej,2,6,VYH,1,20100325,20100921
16.5977801913409,50.0088757388235,5144,101160,Lipová alej,2,6,VYH,1,20100325,20100921
16.5979997828526,50.0087505949972,5145,101160,Lipová alej,2,6,VYH,1,20100325,20100921
16.5980708249934,50.0087024872219,5146,101160,Lipová alej,2,6,VYH,1,20100325,20100921
17.3876886245341,50.0608607357222,5147,100506,Lípa v Andělské Hoře,1,1,VYH,1,20100118,20100922
16.5985157637453,50.0084323105405,5148,101160,Lipová alej,2,6,VYH,1,20100325,20100921
16.5985880276293,50.008420183603,5149,101160,Lipová alej,2,6,VYH,1,20100325,20100921
17.3874552703658,50.0605309817019,5150,100507,Javor mléč v Andělské Hoře,1,1,VYH,1,20100118,20110809
15.9091657358452,49.9579525040241,5151,101603,Lípa srdčitá,1,1,VYH,1,20100325,20110809
14.3748705251709,49.8312301851865,5152,103565,Helenin dub,1,1,ZAK,1,20100610,20120120
17.3901617992261,50.0605592846638,5153,100522,Buk v Andělské Hoře,1,1,ZAK,1,20100326,20130723
16.1442028172849,49.9752730592935,5154,101137,Borovice černá,1,1,VYH,1,20100325,20110809
15.3894483503848,49.9170486379968,5155,103953,Dub ve Spudilově ulici,1,1,ZAK,1,20100610,20100610
14.8945642857265,49.8761223024823,5156,103934,Lípa malolistá,1,1,ZAK,1,20100610,20130723
14.8427092510046,49.871175745772,5157,104260,Dub letní,1,1,ZAK,1,20100610,20110809
17.7217751092916,50.0798897095497,5158,100542,Lípa na Cvilíně,1,1,ZAK,1,20100326,20110809
15.7963185797517,49.9481869409045,5159,104771,Buk lesní převislý,1,1,ZAK,1,20100325,20100325
16.1084692215441,49.9716871086499,5160,101123,Dub letní,1,1,VYH,1,20100325,20101207
14.899561118955,49.875321821105,5161,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8993370109345,49.8753296419733,5162,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8991409829386,49.8753105933555,5163,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8994247204812,49.8753248870826,5164,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8990614148202,49.8752380418399,5165,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8994951041855,49.8752382303739,5166,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8990102321003,49.8751557076131,5167,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8994681124917,49.8751481976622,5168,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8994278709787,49.8750862897984,5169,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8991845516467,49.8749657387457,5170,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
14.8993293938922,49.8749024530846,5171,103979,13 lip malolistých,3,13,ZAK,1,20100610,20101004
15.3937423940776,49.9152815874772,5172,105129,Jilm habrolistý,1,1,ZAK,1,20101008,20121126
15.4755314987526,49.9217525523005,5173,105892,Dub ve Vrdech - Lázních,1,1,VYH,1,20130531,20130531
14.9039239672083,49.8734241168312,5174,104874,2x Lípa malolistá,3,2,ZAK,1,20100610,20130723
15.3859617557822,49.9119373241921,5175,103950,Dub v Koželuhách,1,1,ZAK,1,20100610,20100610
